Date,Time,ControlMode,RobotStatus,RobotAutoControlStage,Battery1VoltsRaw,Battery1AmpsRaw,Battery2VoltsRaw,Battery2AmpsRaw,WaterLevel,TempatureRaw,CH6,CH7,LeftDriveSign,LeftDriveMag,LeftDriveEncoder,RightDriveSign,RightDriveMag,RightDriveEncoder,Battery1Volts,Battery1Amps,Battery2Volts,Battery2Amps,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,CollectionMotor1,CollectionMotor2,VelocityX,VelocityY,VelocityZ,RotationX,RotationY,RotationZ
2018-07-23,17-42-12.593,Auto,Idle,TurnToMap,3.55,2.62,1.32,6.27,0.3,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.24,6.27,0.12,-0.18,-0.03,0.86,31.79,-0.53,-0.44,1,1,-2.700001,-0.49,13.03,476.88,-8.009999,-6.81
2018-07-23,17-42-12.606,Auto,Idle,TurnToMap,3.55,2.65,1.32,6.27,0.3,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.3,6.27,0,-0.18,-0.03,0.86,31.79,-0.53,-0.44,1,1,-2.700001,-0.49,13.03,476.88,-8.009999,-6.81
2018-07-23,17-42-12.624,Auto,Idle,TurnToMap,3.55,2.62,1.31,6.22,0.31,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.24,6.22,0,-0.18,-0.04,0.87,31.73,-0.47,-0.39,1,1,-2.880001,-0.53,13.9,508.61,-8.48,-7.2
2018-07-23,17-42-12.642,Auto,Idle,TurnToMap,3.56,2.63,1.31,6.22,0.3,1.12,NC,NC,1,0.2,0,0,0,0,12.1,0.26,6.22,0,-0.18,-0.04,0.87,31.73,-0.47,-0.39,1,1,-2.880001,-0.53,13.9,508.61,-8.48,-7.2
2018-07-23,17-42-12.671,Auto,Idle,TurnToMap,3.55,2.64,1.32,6.27,0.32,1.11,NC,NC,1,0.2,0,0,0,0,11.95,0.28,6.27,0,-0.18,-0.03,0.87,31.82,-0.52,-0.43,1,1,-3.060001,-0.5599999,14.77,540.43,-9,-7.63
2018-07-23,17-42-12.694,Auto,Idle,TurnToMap,3.54,2.63,1.33,6.32,0.3,1.12,NC,NC,1,0.2,0,0,0,0,11.8,0.26,6.32,0.24,-0.18,-0.03,0.87,31.82,-0.52,-0.43,1,1,-3.060001,-0.5599999,14.77,540.43,-9,-7.63
2018-07-23,17-42-12.721,Auto,Idle,TurnToMap,3.56,2.64,1.32,6.27,0.3,1.12,NC,NC,1,0.2,0,0,0,0,12.1,0.28,6.27,0,-0.18,-0.03,0.87,31.82,-0.56,-0.5,1,1,-3.240001,-0.5899999,15.64,572.25,-9.56,-8.129999
2018-07-23,17-42-12.734,Auto,Idle,TurnToMap,3.54,2.63,1.3,6.18,0.3,1.12,NC,NC,1,0.2,0,0,0,0,11.8,0.26,6.18,0,-0.18,-0.03,0.87,31.82,-0.56,-0.5,1,1,-3.240001,-0.5899999,15.64,572.25,-9.56,-8.129999
2018-07-23,17-42-12.748,Auto,Idle,TurnToMap,3.54,2.62,1.32,6.27,0.3,1.12,NC,NC,1,0.2,0,0,0,0,11.8,0.24,6.27,0,-0.18,-0.03,0.87,31.82,-0.56,-0.5,1,1,-3.240001,-0.5899999,15.64,572.25,-9.56,-8.129999
2018-07-23,17-42-12.763,Auto,Idle,TurnToMap,3.54,2.62,1.18,5.6,0.3,1.12,NC,NC,1,0.2,0,0,0,0,11.8,0.24,5.6,0.6,-0.18,-0.04,0.87,31.73,-0.51,-0.46,1,1,-3.420001,-0.6299999,16.51,603.98,-10.07,-8.589999
2018-07-23,17-42-12.791,Auto,Idle,TurnToMap,3.56,2.62,1.32,6.27,0.3,1.12,NC,NC,1,0.2,0,0,0,0,12.1,0.24,6.27,0,-0.18,-0.04,0.87,31.73,-0.51,-0.46,1,1,-3.420001,-0.6299999,16.51,603.98,-10.07,-8.589999
2018-07-23,17-42-12.806,Auto,Idle,TurnToMap,3.54,2.63,1.32,6.27,0.3,1.12,NC,NC,1,0.2,0,0,0,0,11.8,0.26,6.27,0.12,-0.18,-0.03,0.87,31.67,-0.51,-0.45,1,1,-3.600001,-0.6599999,17.38,635.65,-10.58,-9.039999
2018-07-23,17-42-12.824,Auto,Idle,TurnToMap,3.55,2.63,1.31,6.22,0.3,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.26,6.22,0,-0.18,-0.03,0.87,31.67,-0.51,-0.45,1,1,-3.600001,-0.6599999,17.38,635.65,-10.58,-9.039999
2018-07-23,17-42-12.842,Auto,Idle,TurnToMap,3.54,2.64,1.32,6.27,0.31,1.12,NC,NC,1,0.2,0,0,0,0,11.8,0.28,6.27,0,-0.18,-0.03,0.87,31.91,-0.5,-0.43,1,1,-3.780001,-0.6899999,18.25,667.5599,-11.08,-9.469999
2018-07-23,17-42-12.872,Auto,Idle,TurnToMap,3.55,2.63,1.32,6.27,0.29,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.26,6.27,0,-0.18,-0.03,0.87,31.91,-0.5,-0.43,1,1,-3.780001,-0.6899999,18.25,667.5599,-11.08,-9.469999
2018-07-23,17-42-12.897,Auto,Idle,TurnToMap,3.55,2.62,1.32,6.27,0.3,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.24,6.27,0,-0.18,-0.03,0.87,31.98,-0.55,-0.44,1,1,-3.960001,-0.7199998,19.12,699.5399,-11.63,-9.909999
2018-07-23,17-42-12.914,Auto,Idle,TurnToMap,3.59,2.64,1.34,6.36,0.29,1.12,NC,NC,1,0.2,0,0,0,0,12.55,0.28,6.36,0.12,-0.18,-0.03,0.87,31.98,-0.55,-0.44,1,1,-3.960001,-0.7199998,19.12,699.5399,-11.63,-9.909999
2018-07-23,17-42-12.929,Auto,Idle,TurnToMap,3.55,2.62,1.31,6.22,0.3,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.24,6.22,0,-0.18,-0.03,0.87,31.98,-0.55,-0.44,1,1,-3.960001,-0.7199998,19.12,699.5399,-11.63,-9.909999
2018-07-23,17-42-12.957,Auto,Idle,TurnToMap,3.55,2.64,1.3,6.18,0.3,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.28,6.18,0,-0.18,-0.03,0.87,31.72,-0.53,-0.52,1,1,-4.140001,-0.7499998,19.99,731.2599,-12.16,-10.43
2018-07-23,17-42-12.976,Auto,Idle,TurnToMap,3.55,2.63,1.31,6.22,0.3,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.26,6.22,0,-0.18,-0.03,0.87,31.72,-0.53,-0.52,1,1,-4.140001,-0.7499998,19.99,731.2599,-12.16,-10.43
2018-07-23,17-42-12.991,Auto,Idle,TurnToMap,3.54,2.64,1.32,6.27,0.3,1.12,NC,NC,1,0.2,0,0,0,0,11.8,0.28,6.27,0,-0.18,-0.03,0.87,31.72,-0.53,-0.52,1,1,-4.140001,-0.7499998,19.99,731.2599,-12.16,-10.43
2018-07-23,17-42-13.020,Auto,Idle,TurnToMap,3.55,2.62,1.31,6.22,0.3,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.24,6.22,0,-0.18,-0.03,0.87,31.76,-0.51,-0.47,1,1,-4.320001,-0.7799998,20.86,763.0199,-12.67,-10.9
2018-07-23,17-42-13.039,Auto,Idle,TurnToMap,3.54,2.63,1.3,6.18,0.31,1.12,NC,NC,1,0.2,0,0,0,0,11.8,0.26,6.18,0,-0.18,-0.04,0.87,31.97,-0.56,-0.45,1,1,-4.5,-0.8199998,21.73,794.9899,-13.23,-11.35
2018-07-23,17-42-13.055,Auto,Idle,TurnToMap,3.54,2.64,1.3,6.18,0.3,1.12,NC,NC,1,0.2,0,0,0,0,11.8,0.28,6.18,0.12,-0.18,-0.04,0.87,31.97,-0.56,-0.45,1,1,-4.5,-0.8199998,21.73,794.9899,-13.23,-11.35
2018-07-23,17-42-13.069,Auto,Idle,TurnToMap,3.55,2.64,1.31,6.22,0.3,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.28,6.22,0,-0.18,-0.04,0.87,31.97,-0.56,-0.45,1,1,-4.5,-0.8199998,21.73,794.9899,-13.23,-11.35
2018-07-23,17-42-13.099,Auto,Idle,TurnToMap,3.55,2.63,1.32,6.27,0.29,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.26,6.27,0,-0.18,-0.03,0.87,31.9,-0.53,-0.45,1,1,-4.68,-0.8499998,22.6,826.8899,-13.76,-11.8
2018-07-23,17-42-13.114,Auto,Idle,TurnToMap,3.56,2.64,1.31,6.22,0.3,1.12,NC,NC,1,0.2,0,0,0,0,12.1,0.28,6.22,0,-0.18,-0.03,0.87,31.9,-0.53,-0.45,1,1,-4.68,-0.8499998,22.6,826.8899,-13.76,-11.8
2018-07-23,17-42-13.134,Auto,Idle,TurnToMap,3.55,2.63,1.32,6.27,0.3,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.26,6.27,0,-0.18,-0.03,0.87,31.9,-0.53,-0.45,1,1,-4.68,-0.8499998,22.6,826.8899,-13.76,-11.8
2018-07-23,17-42-13.161,Auto,Idle,TurnToMap,3.54,2.62,1.32,6.27,0.29,1.12,NC,NC,1,0.2,0,0,0,0,11.8,0.24,6.27,0.12,-0.18,-0.04,0.87,31.73,-0.53,-0.48,1,1,-4.86,-0.8899998,23.47001,858.6199,-14.29,-12.28
2018-07-23,17-42-13.183,Auto,Idle,TurnToMap,3.54,2.63,1.32,6.27,0.29,1.12,NC,NC,1,0.2,0,0,0,0,11.8,0.26,6.27,0,-0.18,-0.04,0.87,31.73,-0.53,-0.48,1,1,-4.86,-0.8899998,23.47001,858.6199,-14.29,-12.28
2018-07-23,17-42-13.195,Auto,Idle,TurnToMap,3.54,2.63,1.32,6.27,0.28,1.12,NC,NC,1,0.2,0,0,0,0,11.8,0.26,6.27,0.12,-0.18,-0.03,0.87,31.81,-0.5,-0.48,1,1,-5.04,-0.9199998,24.34001,890.4299,-14.79,-12.76
2018-07-23,17-42-13.207,Auto,Idle,TurnToMap,3.54,2.64,1.32,6.27,0.28,1.12,NC,NC,1,0.2,0,0,0,0,11.8,0.28,6.27,0.12,-0.18,-0.03,0.87,31.81,-0.5,-0.48,1,1,-5.04,-0.9199998,24.34001,890.4299,-14.79,-12.76
2018-07-23,17-42-13.240,Auto,Idle,TurnToMap,3.55,2.64,1.32,6.27,0.28,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.28,6.27,0.24,-0.18,-0.03,0.87,31.89,-0.48,-0.46,1,1,-5.22,-0.9499997,25.21001,922.3199,-15.27,-13.22
2018-07-23,17-42-13.257,Auto,Idle,TurnToMap,3.55,2.66,1.31,6.22,0.3,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.32,6.22,0.12,-0.18,-0.03,0.87,31.89,-0.48,-0.46,1,1,-5.22,-0.9499997,25.21001,922.3199,-15.27,-13.22
2018-07-23,17-42-13.275,Auto,Idle,TurnToMap,3.55,2.62,1.32,6.27,0.3,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.24,6.27,0,-0.18,-0.03,0.87,31.89,-0.48,-0.46,1,1,-5.22,-0.9499997,25.21001,922.3199,-15.27,-13.66
2018-07-23,17-42-13.304,Auto,Idle,TurnToMap,3.54,2.63,1.31,6.22,0.3,1.12,NC,NC,1,0.2,0,0,0,0,11.8,0.26,6.22,0,-0.18,-0.03,0.87,31.8,-0.53,-0.44,1,1,-5.4,-0.9799997,26.08001,954.1199,-15.8,-13.66
2018-07-23,17-42-13.319,Auto,Idle,TurnToMap,3.54,2.64,1.32,6.27,0.3,1.12,NC,NC,1,0.2,0,0,0,0,11.8,0.28,6.27,0,-0.18,-0.03,0.87,31.8,-0.53,-0.44,1,1,-5.4,-0.9799997,26.08001,954.1199,-15.8,-13.66
2018-07-23,17-42-13.338,Auto,Idle,TurnToMap,3.58,2.64,1.31,6.22,0.3,1.13,NC,NC,1,0.2,0,0,0,0,12.4,0.28,6.22,0,-0.18,-0.03,0.87,31.77,-0.5,-0.4,1,1,-5.579999,-1.01,26.95001,985.8899,-16.3,-14.06
2018-07-23,17-42-13.353,Auto,Idle,TurnToMap,3.55,2.67,1.34,6.36,0.3,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.34,6.36,0,-0.18,-0.03,0.87,31.77,-0.5,-0.4,1,1,-5.579999,-1.01,26.95001,985.8899,-16.3,-14.06
2018-07-23,17-42-13.380,Auto,Idle,TurnToMap,3.57,2.63,1.31,6.22,0.29,1.12,NC,NC,1,0.2,0,0,0,0,12.25,0.26,6.22,0,-0.18,-0.03,0.87,31.73,-0.49,-0.48,1,1,-5.759999,-1.04,27.82001,1017.62,-16.79,-14.54
2018-07-23,17-42-13.400,Auto,Idle,TurnToMap,3.55,2.63,1.32,6.27,0.3,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.26,6.27,0,-0.18,-0.03,0.87,31.73,-0.49,-0.48,1,1,-5.759999,-1.04,27.82001,1017.62,-16.79,-14.54
2018-07-23,17-42-13.417,Auto,Idle,TurnToMap,3.55,2.63,1.31,6.27,0.3,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.26,6.22,0,-0.18,-0.03,0.87,31.73,-0.49,-0.48,1,1,-5.759999,-1.04,27.82001,1017.62,-16.79,-14.54
2018-07-23,17-42-13.444,Auto,Idle,TurnToMap,3.55,2.63,1.31,6.22,0.3,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.26,6.22,0,-0.18,-0.03,0.87,32,-0.48,-0.47,1,1,-5.939999,-1.07,28.69001,1049.62,-17.27,-15.01
2018-07-23,17-42-13.457,Auto,Idle,TurnToMap,3.55,2.63,1.3,6.18,0.3,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.26,6.18,0,-0.18,-0.03,0.87,32,-0.48,-0.47,1,1,-5.939999,-1.07,28.69001,1049.62,-17.27,-15.01
2018-07-23,17-42-13.475,Auto,Idle,TurnToMap,3.57,2.63,1.31,6.22,0.29,1.12,NC,NC,1,0.2,0,0,0,0,12.25,0.26,6.22,0,-0.18,-0.03,0.87,31.98,-0.44,-0.39,1,1,-6.119999,-1.1,29.56001,1081.6,-17.71,-15.4
2018-07-23,17-42-13.492,Auto,Idle,TurnToMap,3.57,2.63,1.31,6.22,0.29,1.12,NC,NC,1,0.2,0,0,0,0,12.25,0.26,6.22,0,-0.18,-0.03,0.87,31.98,-0.44,-0.39,1,1,-6.119999,-1.1,29.56001,1081.6,-17.71,-15.4
2018-07-23,17-42-13.512,Auto,Idle,TurnToMap,3.55,2.63,1.31,6.22,0.3,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.26,6.22,0,-0.18,-0.03,0.87,31.98,-0.44,-0.39,1,1,-6.119999,-1.1,29.56001,1081.6,-17.71,-15.4
2018-07-23,17-42-13.541,Auto,Idle,TurnToMap,3.56,2.63,1.31,6.22,0.3,1.12,NC,NC,1,0.2,0,0,0,0,12.1,0.26,6.22,0.12,-0.18,-0.03,0.87,31.75,-0.47,-0.4,1,1,-6.299999,-1.13,30.43001,1113.35,-18.18,-15.8
2018-07-23,17-42-13.554,Auto,Idle,TurnToMap,3.56,2.63,1.29,6.13,0.3,1.12,NC,NC,1,0.2,0,0,0,0,12.1,0.26,6.13,0,-0.18,-0.03,0.87,31.75,-0.47,-0.4,1,1,-6.299999,-1.13,30.43001,1113.35,-18.18,-15.8
