Date,Time,ControlMode,RobotStatus,RobotAutoControlStage,Battery1VoltsRaw,Battery1AmpsRaw,Battery2VoltsRaw,Battery2AmpsRaw,WaterLevel,TempatureRaw,CH6,CH7,LeftDriveSign,LeftDriveMag,LeftDriveEncoder,RightDriveSign,RightDriveMag,RightDriveEncoder,Battery1Volts,Battery1Amps,Battery2Volts,Battery2Amps,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,CollectionMotor1,CollectionMotor2,VelocityX,VelocityY,VelocityZ,RotationX,RotationY,RotationZ,Tempature_MPU,SideWall,FrontWall,Proximity,Positionx,Positiony,Positionz
2018-07-24,16-13-32.094,Auto,Idle,None,3.41,2.62,1.35,6.41,0.31,1.16,NC,NC,0,0,0,0,0,0,9.85,0.24,6.41,0.36,-0.19,0.01,0.87,32.1,-0.37,-0.51,1,1,-3.980001,0.19,18.22,667.02,-9.419999,-8.4,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-32.114,Auto,Idle,None,3.41,2.63,1.36,6.46,0.31,1.16,NC,NC,0,0,0,0,0,0,9.85,0.26,6.46,0.36,-0.19,0.01,0.87,32.1,-0.37,-0.51,1,1,-3.980001,0.19,18.22,667.02,-9.419999,-8.4,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-32.127,Auto,Idle,None,3.42,2.63,1.36,6.46,0.31,1.16,NC,NC,0,0,0,0,0,0,10,0.26,6.46,0.36,-0.19,0.01,0.87,32.1,-0.37,-0.51,1,1,-3.980001,0.19,18.22,667.02,-9.419999,-8.4,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-32.159,Auto,Idle,None,3.43,2.63,1.36,6.46,0.31,1.18,NC,NC,0,0,0,0,0,0,10.15,0.26,6.46,0.36,-0.19,0.01,0.87,32.11,-0.4,-0.5,1,1,-4.170001,0.2,19.09,699.1299,-9.819999,-8.9,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-32.198,Auto,Idle,None,3.43,2.62,1.36,6.46,0.31,1.18,NC,NC,0,0,0,0,0,0,10.15,0.24,6.46,0.36,-0.19,0.01,0.87,32.11,-0.4,-0.5,1,1,-4.170001,0.2,19.09,699.1299,-9.819999,-8.9,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-32.204,Auto,Idle,None,3.43,2.65,1.36,6.46,0.31,1.16,NC,NC,0,0,0,0,0,0,10.15,0.3,6.46,0.24,-0.19,0.01,0.87,32.1,-0.38,-0.5,1,1,-4.360001,0.21,19.96,731.2299,-10.2,-9.4,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-32.208,Auto,Idle,None,3.42,2.64,1.36,6.46,0.32,1.16,NC,NC,0,0,0,0,0,0,10,0.28,6.46,0.36,-0.19,0.01,0.87,32.1,-0.38,-0.5,1,1,-4.360001,0.21,19.96,731.2299,-10.2,-9.4,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-32.275,Auto,Idle,None,3.43,2.63,1.35,6.41,0.31,1.17,NC,NC,0,0,0,0,0,0,10.15,0.26,6.41,0.24,-0.19,0.01,0.87,32.09,-0.38,-0.51,1,1,-4.550001,0.22,20.83,763.3199,-10.58,-9.91,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-32.280,Auto,Idle,None,3.43,2.61,1.36,6.46,0.31,1.16,NC,NC,0,0,0,0,0,0,10.15,0.22,6.46,0.36,-0.19,0.01,0.87,32.09,-0.38,-0.51,1,1,-4.550001,0.22,20.83,763.3199,-10.58,-9.91,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-32.284,Auto,Idle,None,3.43,2.62,1.36,6.46,0.31,1.16,NC,NC,0,0,0,0,0,0,10.15,0.24,6.46,0.24,-0.19,0.01,0.87,32.09,-0.38,-0.51,1,1,-4.550001,0.22,20.83,763.3199,-10.58,-9.91,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-32.300,Auto,Idle,None,3.43,2.64,1.36,6.46,0.31,1.16,NC,NC,0,0,0,0,0,0,10.15,0.28,6.46,0.24,-0.19,0.01,0.87,32.05,-0.36,-0.51,1,1,-4.740001,0.23,21.7,795.3699,-10.94,-10.42,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-32.318,Auto,Idle,None,3.43,2.62,1.35,6.41,0.31,1.16,NC,NC,0,0,0,0,0,0,10.15,0.24,6.41,0.36,-0.19,0.01,0.8674316,32.11,-0.34,-0.52,1,1,-4.930001,0.24,22.57001,827.4799,-11.28,-10.94,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-32.331,Auto,Idle,None,3.43,2.62,1.36,6.46,0.31,1.16,NC,NC,0,0,0,0,0,0,10.15,0.24,6.46,0.36,-0.19,0.01,0.87,32.11,-0.34,-0.52,1,1,-4.930001,0.24,22.57001,827.4799,-11.28,-10.94,-0.28,0,0,NC,null,null,null
