Date,Time,ControlMode,RobotStatus,RobotAutoControlStage,Battery1VoltsRaw,Battery1AmpsRaw,Battery2VoltsRaw,Battery2AmpsRaw,WaterLevel,TempatureRaw,CH6,CH7,LeftDriveSign,LeftDriveMag,LeftDriveEncoder,RightDriveSign,RightDriveMag,RightDriveEncoder,Battery1Volts,Battery1Amps,Battery2Volts,Battery2Amps,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,CollectionMotor1,CollectionMotor2
2018-07-22,18-58-47.200,Auto,Idle,None,3.67,2.61,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.75,0.22,0.05,1.56,243,162,-515,16,12,-515,1,1
2018-07-22,18-58-47.216,Auto,Idle,None,3.67,2.62,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.75,0.24,0.05,1.56,243,128,-515,16,16,-515,1,1
2018-07-22,18-58-47.232,Auto,Idle,None,3.67,2.6,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.75,0.2,0.05,1.56,243,128,-515,16,16,-515,1,1
2018-07-22,18-58-47.248,Auto,Idle,None,3.67,2.62,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.75,0.24,0.05,1.68,243,128,-515,16,16,-515,1,1
2018-07-22,18-58-47.279,Auto,Idle,None,3.65,2.62,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.45,0.24,0.05,1.56,243,158,-515,16,13,-515,1,1
2018-07-22,18-58-47.295,Auto,Idle,None,3.65,2.62,0.01,0.05,0.33,1.05,NC,NC,0,0,0,0,0,0,13.45,0.24,0.05,1.56,243,146,-515,16,11,-515,1,1
2018-07-22,18-58-47.321,Auto,Idle,None,3.65,2.6,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.45,0.2,0.05,1.56,243,146,-515,16,11,-515,1,1
2018-07-22,18-58-47.341,Auto,Idle,None,3.66,2.61,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.6,0.22,0.05,1.56,243,146,-515,16,11,-515,1,1
2018-07-22,18-58-47.360,Auto,Idle,None,3.66,2.62,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.6,0.24,0.05,1.56,243,118,-515,16,19,-515,1,1
2018-07-22,18-58-47.372,Auto,Idle,None,3.66,2.6,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.6,0.2,0.05,1.56,243,118,-515,16,19,-515,1,1
2018-07-22,18-58-47.389,Auto,Idle,None,3.65,2.61,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.45,0.22,0.05,1.56,243,156,-515,15,254,-515,1,1
2018-07-22,18-58-47.420,Auto,Idle,None,3.65,2.61,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.45,0.22,0.05,1.56,243,156,-515,15,254,-515,1,1
2018-07-22,18-58-47.434,Auto,Idle,None,3.66,2.63,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.6,0.26,0.05,1.56,243,156,-515,15,254,-515,1,1
2018-07-22,18-58-47.451,Auto,Idle,None,3.67,2.61,0.01,0.05,0.31,1.05,NC,NC,0,0,0,0,0,0,13.75,0.22,0.05,1.56,243,156,-515,16,2,-515,1,1
